IdCliente,Nombres,ApPaterno,ApMaterno,Email
1,Javier Esteban,Tiburcio,Ortega,Jaestior@gmail.com
2,Roy Brian,Tiburcio,Ortega,Roy@gmail.com
3,Mirian,Tiburcio,Ortega,Mirian@gmail.com
4,Mirian,Tiburcio,Ortega,Mirian@gmail.com
5,Mirian,Tiburcio,Ortega,Mirian@gmail.com
6,Alex,Tiburcio,Quispe,Alex@gmail.com
7,Edin,Tiburcio,Quispe,Edin@gmail.com
8,Mirian,Tiburcio,Ortega,Mirian@gmail.com
9,Alex,Tiburcio,Quispe,Alex@gmail.com
10,Edin,Tiburcio,Quispe,Edin@gmail.com
11,Jesus Telmo,Tiburcio,Ortega,Jtelmo@gmail.com
12,Javier Tiburcio,Tiburcio,ortega,jaestior@gmail.com
13,Mirian,Tiburcio,Ortega,Mirian@gmail.com
14,Alex,Tiburcio,Quispe,Alex@gmail.com
15,Edin,Tiburcio,Quispe,Edin@gmail.com
16,Mirian,Tiburcio,Ortega,Mirian@gmail.com
17,Alex,Tiburcio,Quispe,Alex@gmail.com
18,Edin,Tiburcio,Quispe,Edin@gmail.com
19,Javier,Tiburcio,Ortega,Jaestior@gmail.com
20,Mirian,Tiburcio,Ortega,Mirian@gmail.com
21,Alex,Tiburcio,Quispe,Alex@gmail.com
22,Edin,Tiburcio,Quispe,Edin@gmail.com
